FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Quartile,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Quartile,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Quartile,% Adults with Obesity,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,% With Access to Exercise Opportunities,Quartile,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Quartile,# Chlamydia Cases,Chlamydia Rate,Quartile,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Quartile,Preventable Hospitalization Rate,Quartile,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Quartile,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Quartile,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Quartile,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Quartile,# Associations,Social Association Rate,Quartile,Annual Average Violent Crimes,Violent Crime Rate,Quartile,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Quartile,Presence of Water Violation,Quartile,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Quartile,% Drive Alone to Work,95% CI - Low,95% CI - High,Quartile,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile
47000,Tennessee,,106691,9285,9202,9368,,,,,,,,,,,,,,,,,20,18,21,,4.2,4.0,4.5,,4.4,4.0,4.7,,,9,9,9,,,,,,,,,,,,,,,,,23,21,24,,33,,,,6.4,,27,,,,70,,14,13,16,,1264,5027,25,24,26,,35087,522.4,,31,31,31,,,,,,,,,,,,,,,,,621332,11,11,12,,4812,72,1396:1,,3648,54,1856:1,,10280,152,659:1,,5320,,,,,,,41,,,,,,,49,,,,,,,71587,90,,1051836,1731187,61,60,61,,113266,3244928,3.5,,22,21,23,,,,,,,101453,21282,4.8,,525144,1486677,35,35,36,,7617,11.3,,40973,621,,29478,89,88,90,,,,,,,,,,,,,,,,,10.0,,,,15,14,15,,,,,,,,,,,83,83,84,,,,,,,,,,,,,,,,,3003226,35,34,35,
47001,Tennessee,Anderson,1369,10009,9172,10846,2,,,,,,,11583,7757,16635,,,,10272,9375,11170,19,18,20,1,4.3,4.1,4.5,1,4.7,4.5,4.9,2,,9,8,10,3,,,,,,,11,7,16,,,,9,8,10,21,20,22,1,33,26,41,2,7.5,3,26,20,33,1,66,1,14,14,15,3,15,57,26,19,34,3,294,385.5,3,34,31,37,2,,,,,,,32,22,45,25,14,42,35,32,39,6218,10,9,12,1,41,54,1860:1,1,53,69,1443:1,1,70,92,1093:1,2,4916,1,,,5116,,4950,48,1,,52,63,62,48,56,1,,71,50,56,56,859,92,3,10238,17800,58,53,62,1,1288,34283,3.8,2,22,15,28,2,,18,22,38,20,99106,21053,4.7,3,5614,15668,36,31,41,3,114,14.9,1,251,401,3,402,106,95,116,3,,,,,,,98,57,156,,,,109,98,120,10.3,3,No,1,13,12,15,12,10,13,1,1,2,1,1,1,3,87,86,88,4,,,,87,77,97,87,83,90,80,63,96,90,89,92,32206,36,32,39,2
47003,Tennessee,Bedford,859,10294,9268,11319,2,,,,,,,12221,8844,16461,6844,4583,9829,10426,9226,11626,22,21,23,3,4.6,4.4,4.8,2,4.8,4.6,5.0,2,,9,8,10,3,,,,,,,14,11,18,6,4,7,9,8,10,23,22,23,3,34,26,42,2,7.9,2,32,25,40,3,49,3,16,15,16,4,17,42,40,33,48,4,204,424.0,3,42,38,46,3,,,,,,,32,22,47,50,40,61,42,37,47,5801,14,13,16,4,17,35,2830:1,3,13,27,3772:1,3,33,67,1486:1,2,5695,3,,,5596,13851,5537,44,1,,,55,31,44,44,3,,,34,33,45,571,91,3,5031,12185,41,36,46,3,772,20592,3.7,2,23,16,29,2,,,28,24,20,90048,23218,3.9,1,4406,12145,36,30,43,4,39,8.1,3,200,425,3,199,83,72,95,1,,,,,,,51,24,93,38,19,69,95,81,109,10.5,4,Yes,4,15,12,17,12,10,14,3,2,5,0,0,1,4,80,77,83,1,,,,,,,84,71,98,64,54,74,80,76,84,21250,35,31,38,2
47005,Tennessee,Benton,428,14479,12233,16726,4,,,,,,,,,,,,,,,,23,22,24,4,5.0,4.8,5.2,4,5.1,4.8,5.3,4,,9,7,10,2,,,,,,,,,,,,,,,,24,23,25,3,35,26,44,3,7.4,3,29,22,38,2,48,3,12,12,13,1,7,24,29,18,40,3,49,306.5,2,46,39,54,4,,,,,,,,,,,,,,,,1489,12,10,14,3,3,19,5329:1,4,3,19,5395:1,4,7,43,2312:1,3,5854,3,,,9855,,5800,34,4,,,,,,47,2,,,34,50,47,166,96,1,1548,3276,47,39,55,2,336,6848,4.9,4,30,20,40,4,,,,,,70582,14542,4.9,3,1071,3078,35,25,45,3,20,12.5,1,25,152,1,130,162,134,189,4,,,,,,,,,,,,,,,,10.0,2,No,1,16,13,19,13,10,16,3,1,5,2,0,3,4,87,82,93,4,,,,,,,,,,,,,,,,5448,28,23,33,1
47007,Tennessee,Bledsoe,229,8126,6427,9824,1,,,,,,,,,,,,,,,,23,22,23,3,4.7,4.5,4.9,3,4.8,4.5,5.0,2,,7,5,9,1,,,,,,,,,,,,,,,,25,24,26,4,33,24,42,2,7.9,2,26,18,35,1,24,4,15,14,15,4,4,10,40,23,56,4,142,964.9,4,42,34,51,3,,,,,,,,,,,,,,,,1422,15,13,17,4,1,7,14717:1,4,3,20,4918:1,4,4,27,3689:1,4,5664,3,,,,,,40,2,,,,,,39,4,,,,,,124,85,4,1539,4045,38,30,46,4,250,4303,5.8,4,35,25,45,4,,,,49,24,90457,16823,5.4,4,612,2304,27,18,35,1,6,4.1,4,24,173,1,66,91,70,116,2,,,,,,,,,,,,,,,,9.4,1,No,1,17,12,21,11,8,15,4,1,6,2,0,4,4,77,73,80,1,,,,,,,,,,,,,,,,5603,53,43,62,4
47009,Tennessee,Blount,2049,8842,8235,9448,1,,,,,,,8219,5545,11733,,,,9159,8504,9814,20,19,21,1,4.3,4.1,4.5,1,4.5,4.3,4.8,1,,8,7,9,1,,,,,,,11,7,15,5,3,7,8,7,9,21,21,22,2,33,27,40,2,7.7,3,25,19,31,1,68,1,15,14,16,4,32,109,29,24,34,3,427,328.6,3,28,27,31,1,,,,,,,31,22,44,35,25,48,28,26,31,10561,10,9,12,1,90,69,1444:1,1,76,58,1728:1,1,163,124,806:1,1,5193,2,,,4600,,5217,46,1,,41,54,45,46,54,1,,52,46,43,54,1330,94,2,17744,30155,59,55,62,1,2009,62275,3.2,1,14,9,18,1,,14,29,35,14,102565,24415,4.2,1,7123,26310,27,23,31,1,137,10.5,2,449,354,3,546,85,78,92,2,,,,,,,48,23,88,,,,89,82,97,10.1,3,No,1,13,11,14,11,10,13,1,1,2,1,0,1,2,87,85,88,4,,,,,,,89,84,95,85,69,100,87,86,88,59126,35,33,38,2
47011,Tennessee,Bradley,1599,8125,7525,8726,1,,,,,,,8516,6084,11597,,,,8435,7771,9099,22,21,22,3,4.6,4.4,4.7,2,4.7,4.5,4.9,2,,9,8,9,2,,,,,,,12,9,15,7,5,9,9,8,9,22,21,23,2,38,33,43,4,7.3,4,33,28,37,3,77,1,14,13,14,3,18,65,28,21,34,3,394,373.2,3,31,29,34,2,,,,,,,30,22,40,45,36,56,31,29,33,11377,13,12,15,4,57,54,1852:1,1,49,46,2178:1,1,100,94,1067:1,1,5610,2,,,8859,5318,5491,43,1,,16,46,36,43,45,3,,37,39,34,45,1186,91,3,14870,26099,57,53,61,1,1803,50258,3.6,2,21,16,26,1,,4,14,45,22,92993,21734,4.3,2,7398,23023,32,27,37,2,147,13.9,1,576,554,4,404,77,70,85,1,,,,,,,66,39,105,38,20,67,82,74,90,10.7,4,No,1,15,13,17,12,10,14,3,2,3,1,1,2,4,82,80,84,1,,,,,,,77,69,86,82,73,92,83,82,85,46836,27,24,29,1
47013,Tennessee,Campbell,997,13905,12558,15253,4,,,,,,,,,,,,,,,,22,21,22,3,4.7,4.5,5.0,3,5.0,4.7,5.3,4,,10,9,11,4,,,,,,,,,,,,,,,,24,23,25,4,33,25,41,2,7.1,4,30,22,38,2,65,2,13,12,14,2,11,50,22,15,30,2,111,280.0,2,47,42,52,4,,,,,,,,,,,,,,,,3847,12,11,14,3,19,48,2087:1,2,12,30,3299:1,3,20,51,1979:1,3,7669,4,,,,,,43,1,,,,,,42,4,,,,,,460,94,3,3902,9318,42,36,47,3,702,14752,4.8,4,28,18,37,4,,,,42,27,78901,15326,5.1,4,2920,7941,37,31,43,4,41,10.3,2,167,419,3,229,115,100,130,4,,,,,,,,,,,,,,,,9.7,1,Yes,4,13,11,15,12,10,14,1,0,1,1,0,1,2,83,79,86,2,,,,,,,,,,,,,,,,14949,38,34,43,3
47015,Tennessee,Cannon,289,11229,9239,13219,3,,,,,,,,,,,,,,,,20,19,20,1,4.4,4.2,4.6,2,4.8,4.6,5.0,2,,9,8,11,3,,,,,,,,,,,,,,,,22,21,23,2,37,27,48,4,8.4,1,28,19,40,2,21,4,15,14,15,4,6,16,38,24,50,4,49,344.7,3,37,30,45,3,,,,,,,,,,,,,,,,1381,12,10,14,3,3,21,4739:1,4,4,28,3616:1,3,2,14,7231:1,4,7375,4,,,,,,43,1,,,,,,45,3,,,50,,45,137,93,3,1366,3446,40,32,47,4,201,6368,3.2,1,22,15,29,2,,,,11,27,86270,20881,4.1,1,879,2967,30,20,39,2,12,8.4,3,25,177,1,98,139,113,170,4,,,,,,,,,,,,,,,,9.7,1,No,1,11,8,15,8,5,11,2,1,4,1,0,2,1,86,84,89,3,,,,,,,,,,,,,,,,6224,60,52,69,4
47017,Tennessee,Carroll,584,10179,8852,11506,2,,,,,,,,,,,,,,,,21,20,22,2,4.5,4.3,4.7,2,4.8,4.5,5.0,2,,7,6,9,1,,,,,,,12,7,17,12,5,18,7,6,8,23,22,24,3,30,23,37,1,7.6,3,32,25,39,3,24,4,13,12,14,1,6,26,23,13,34,2,136,488.2,4,31,26,35,2,,,,,,,26,17,39,58,32,95,30,26,35,2295,11,9,12,1,14,50,1990:1,2,7,25,4003:1,3,14,50,2001:1,3,6181,3,,,6569,6202,6131,39,2,,,34,,39,52,1,,,44,,53,314,96,1,3189,6238,51,45,58,2,591,11940,4.9,4,28,20,35,3,,,35,34,21,79836,16981,4.7,3,2166,5934,37,27,46,4,33,11.8,2,72,254,1,136,97,81,113,3,,,,,,,85,45,146,,,,102,84,120,10.2,3,No,1,14,12,17,12,10,15,2,1,3,1,0,1,3,87,86,87,4,,,,,,,,,,,,,,,,10635,32,28,37,2
