FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Quartile,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Quartile,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Quartile,% Adults with Obesity,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,% With Access to Exercise Opportunities,Quartile,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Quartile,# Chlamydia Cases,Chlamydia Rate,Quartile,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Quartile,Preventable Hospitalization Rate,Quartile,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Quartile,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Quartile,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Quartile,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Quartile,# Associations,Social Association Rate,Quartile,Annual Average Violent Crimes,Violent Crime Rate,Quartile,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Quartile,Presence of Water Violation,Quartile,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Quartile,% Drive Alone to Work,95% CI - Low,95% CI - High,Quartile,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile
47019,Tennessee,Carter,1091,9602,8684,10520,2,,,,,,,,,,,,,,,,24,23,25,4,5.0,4.7,5.2,4,5.2,4.9,5.4,4,,9,8,10,3,,,,,,,,,,10,5,16,9,8,10,25,24,26,4,38,32,44,4,6.1,4,29,23,35,2,81,1,13,12,14,1,12,29,41,32,50,4,133,235.4,1,30,27,33,1,,,,,,,,,,40,19,73,31,27,34,5222,12,10,14,3,21,37,2690:1,3,16,28,3522:1,3,17,30,3315:1,3,5715,3,,,,,,44,1,,,,,,44,3,,,36,,44,637,94,3,6751,13458,50,46,55,2,992,24002,4.1,3,29,22,37,4,75,,33,41,35,70625,15317,4.6,3,3853,10564,36,31,42,4,78,13.8,1,154,271,2,260,92,81,103,2,,,,,,,,,,,,,,,,9.4,1,No,1,15,13,17,13,11,14,1,1,2,1,1,2,4,86,85,87,3,,,,,,,,,,,,,,,,22560,30,27,33,1
47021,Tennessee,Cheatham,731,10215,9115,11316,2,,,,,,,,,,,,,,,,18,17,18,1,4.1,3.9,4.3,1,4.4,4.2,4.6,1,,9,8,10,2,,,,,,,,,,,,,,,,20,19,21,1,32,23,43,2,8.8,1,19,13,27,1,49,3,16,15,16,4,10,35,29,20,38,3,108,267.8,2,27,24,31,1,,,,,,,,,,,,,,,,3506,10,9,12,1,22,55,1833:1,1,7,17,5777:1,4,28,69,1444:1,2,5212,2,,,9702,,5239,33,4,,,38,,34,48,2,,,39,45,48,506,90,4,5652,10127,56,51,61,1,587,21459,2.7,1,13,9,18,1,,,,21,14,103373,28568,3.6,1,2781,8983,31,24,37,2,35,8.7,3,113,283,2,258,129,113,145,4,,,,,,,,,,,,,,,,10.6,4,No,1,12,10,15,11,9,13,2,1,3,0,0,1,2,84,81,86,2,,,,,,,,,,,,,,,,19326,61,56,65,4
47023,Tennessee,Chester,271,7781,6416,9147,1,,,,,,,,,,,,,,,,20,19,20,1,4.4,4.2,4.6,2,4.6,4.4,4.8,1,,6,5,7,1,,,,,,,11,6,17,,,,6,4,7,22,21,23,2,31,24,41,1,7.7,3,30,22,39,2,34,4,14,13,15,3,1,11,9,0,28,1,60,350.5,3,23,19,28,1,,,,,,,,,,,,,,,,1558,12,10,14,3,5,29,3424:1,4,5,29,3455:1,3,15,87,1152:1,2,6816,4,,,13295,,6343,35,3,,,30,,36,46,3,,,36,,46,210,94,2,2223,3880,57,48,67,1,318,8422,3.8,2,22,15,29,2,,,55,39,21,86522,18870,4.6,2,1191,3841,31,21,41,2,16,9.3,3,46,263,2,79,91,72,114,2,,,,,,,,,,,,,,,,9.7,1,No,1,13,9,16,12,9,16,2,0,3,1,0,1,2,85,80,89,2,,,,,,,,,,,,,,,,6849,39,32,47,3
47025,Tennessee,Claiborne,700,11589,10271,12906,4,,,,,,,,,,,,,,,,22,21,23,3,4.7,4.5,4.9,3,4.8,4.6,5.0,2,,10,9,11,4,,,,,,,,,,,,,,,,23,22,24,3,26,19,34,1,7.1,4,30,23,39,2,54,2,14,13,15,3,6,34,18,9,27,1,96,303.7,2,35,31,40,2,,,,,,,,,,,,,,,,2834,12,10,13,2,19,60,1664:1,1,6,19,5293:1,4,5,16,6351:1,4,4486,1,,,,,,37,3,,,,,,41,4,,,25,,41,312,92,3,4040,7597,53,47,59,2,549,12973,4.2,3,35,27,43,4,,,,23,37,69897,13543,5.2,4,2021,5910,34,26,43,3,19,6.0,4,100,317,2,191,121,103,138,4,,,,,,,,,,,,,,,,10.0,2,No,1,14,11,16,13,10,15,1,1,2,1,0,2,3,87,84,90,4,,,,,,,,,,,,,,,,11510,32,27,36,2
47027,Tennessee,Clay,172,13807,10189,17424,4,,,,,,,,,,,,,,,,25,24,26,4,5.2,4.9,5.4,4,5.4,5.1,5.7,4,,10,7,13,4,,,,,,,,,,,,,,,,25,24,26,4,31,22,41,1,7.8,2,32,22,43,3,26,4,12,11,13,1,2,8,25,7,46,2,12,155.8,1,30,21,40,1,,,,,,,,,,,,,,,,839,15,12,17,4,3,39,2568:1,3,1,13,7717:1,4,,,,2,8499,4,,,,,,33,4,,,,,,46,3,,,,,,62,100,1,636,1510,42,31,54,3,142,2857,5.0,4,31,21,41,4,,,,,,65770,12458,5.3,4,425,1529,28,16,39,1,4,5.2,4,22,283,2,65,168,130,214,4,,,,,,,,,,,,,,,,9.9,2,No,1,13,8,17,10,6,15,2,0,5,2,0,4,2,86,79,94,4,,,,,,,,,,,,,,,,2701,46,35,57,3
47029,Tennessee,Cocke,909,14176,12673,15678,4,,,,,,,,,,,,,,,,25,24,26,4,5.2,4.9,5.4,4,5.3,5.1,5.6,4,,9,8,10,3,,,,,,,,,,,,,,,,24,23,25,4,37,28,45,3,6.7,4,34,26,42,3,38,4,13,12,13,1,19,43,44,37,51,4,110,309.4,2,50,45,56,4,,,,,,,,,,42,20,78,52,46,57,3395,12,10,14,3,18,51,1975:1,2,7,20,5111:1,4,17,48,2104:1,3,5150,2,,,,,,44,1,,,43,,44,46,3,,,45,36,46,381,93,3,3035,7794,39,33,45,4,696,14847,4.7,4,36,25,46,4,81,,47,45,39,75852,13797,5.5,4,3385,7334,46,37,55,4,36,10.1,2,215,608,4,198,112,96,127,4,,,,,,,,,,,,,,,,9.6,1,No,1,14,11,17,13,10,16,2,1,2,0,0,1,3,84,80,88,2,,,,,,,,,,,,,,,,13838,45,39,50,3
47031,Tennessee,Coffee,1038,10315,9381,11249,2,,,,,,,,,,,,,,,,20,20,21,2,4.4,4.2,4.5,2,4.6,4.4,4.8,2,,9,8,10,3,,,,19,9,28,12,7,17,7,5,10,9,8,10,22,22,23,2,32,26,39,2,7.8,2,32,26,38,3,73,1,15,15,16,4,20,69,29,23,35,3,155,281.6,2,43,39,47,4,,,,,,,33,21,50,62,45,83,43,39,47,4939,11,10,12,2,37,67,1487:1,1,43,77,1295:1,1,121,217,460:1,1,7144,4,,,8044,4696,7157,39,2,,33,30,58,39,49,2,,45,39,39,49,721,90,4,6540,13246,49,44,54,2,872,25484,3.4,1,25,19,31,3,,,26,54,18,88914,22479,4.0,1,3881,13103,30,24,35,2,57,10.4,2,248,458,3,270,99,87,111,3,,,,,,,,,,,,,,,,10.2,3,No,1,13,11,15,10,8,12,3,2,4,1,0,2,2,86,83,88,3,,,,,,,89,79,100,,,,88,86,91,23200,33,29,36,2
47033,Tennessee,Crockett,282,10580,8605,12555,3,,,,,,,,,,,,,,,,25,24,25,4,4.8,4.6,5.0,4,4.9,4.7,5.1,3,,8,7,10,1,,,,,,,9,4,14,,,,8,7,10,23,22,24,3,40,30,52,4,8.2,1,42,31,53,4,3,4,13,12,13,1,4,15,27,13,41,3,60,414.6,3,38,32,45,3,,,,,,,31,18,52,55,36,81,36,29,45,1669,14,12,16,4,,,,2,7,49,2047:1,1,1,7,14328:1,4,6285,3,,,7812,,5961,36,3,,,39,,36,43,4,,,35,27,44,210,98,1,1514,3391,45,38,51,3,271,7019,3.9,2,25,18,33,3,,,47,39,22,81219,19231,4.2,1,1336,3398,39,31,47,4,25,17.3,1,59,404,3,60,83,63,107,1,,,,,,,,,,,,,,,,10.1,3,No,1,14,11,18,11,8,14,2,1,4,1,0,2,4,90,88,93,4,,,,,,,86,50,100,,,,87,84,90,5977,32,27,36,2
47035,Tennessee,Cumberland,1111,9915,8875,10956,2,,,,,,,,,,,,,,,,21,20,22,2,4.5,4.3,4.7,2,4.6,4.4,4.8,1,,8,7,9,1,,,,,,,,,,7,3,10,8,7,9,20,19,21,1,34,28,41,3,7.8,2,28,22,34,2,63,2,12,11,13,1,15,60,25,18,32,2,164,277.6,2,46,42,50,4,,,,,,,,,,37,22,59,47,42,51,5144,13,11,14,4,40,68,1477:1,1,18,30,3315:1,3,19,32,3141:1,3,3918,1,,,,,,50,1,,33,62,38,50,49,2,,48,49,39,49,540,90,4,5118,11396,45,40,50,3,1017,23336,4.4,3,24,17,32,3,,,,57,22,80736,20165,4.0,1,4326,10418,42,34,49,4,53,9.0,3,173,297,2,298,101,90,113,3,,,,,,,,,,,,,,,,9.3,1,Yes,4,12,10,14,10,8,12,1,1,2,1,0,2,2,84,81,86,2,,,,,,,,,,,,,,,,20914,26,23,29,1
47037,Tennessee,Davidson,8725,8404,8165,8643,1,,,,3851,2975,4727,11386,10849,11924,4727,4147,5308,7657,7360,7954,17,16,17,1,4.0,3.9,4.1,1,4.2,4.1,4.4,1,,9,9,9,3,,,,9,8,10,14,13,14,6,6,7,7,7,7,18,18,19,1,30,27,33,1,7.3,4,23,20,26,1,91,1,16,15,16,4,107,365,29,27,32,3,4567,660.7,4,29,28,30,1,,,,11,9,14,34,33,36,61,58,65,17,16,18,82893,14,13,15,4,653,94,1059:1,1,535,77,1295:1,1,2202,318,315:1,1,5642,2,,2275,7477,6195,5165,40,2,,29,40,26,41,49,2,25,46,38,35,53,5508,80,4,162463,228586,71,70,73,1,10438,396574,2.6,1,25,22,28,3,7,22,40,39,13,112011,25223,4.4,2,57892,143990,40,38,42,4,926,13.4,1,7454,1105,4,3134,92,89,95,2,116,58,207,30,21,41,85,80,91,37,31,44,108,103,112,10.6,4,No,1,17,16,18,14,14,15,3,2,3,1,1,1,4,79,78,79,1,90,79,100,72,67,76,79,77,81,72,69,75,83,83,84,365300,35,34,36,2
47039,Tennessee,Decatur,237,8881,7028,10734,1,,,,,,,,,,,,,,,,23,22,24,4,4.8,4.5,5.0,3,5.0,4.7,5.2,4,,8,7,10,2,,,,,,,,,,,,,,,,23,22,24,3,32,24,41,2,7.7,3,35,27,44,4,48,3,13,12,13,1,7,19,37,25,49,4,30,255.3,2,33,25,41,2,,,,,,,,,,,,,,,,1082,12,10,14,3,4,34,2938:1,3,5,43,2341:1,2,12,103,976:1,1,6903,4,,,,,,35,3,,,,,,47,2,,,28,,47,119,95,2,1199,2426,49,40,59,2,226,4734,4.8,4,24,16,32,2,,,32,,27,78961,15008,5.3,4,698,2479,28,18,38,1,8,6.8,4,30,257,2,58,99,75,128,3,,,,,,,,,,,,,,,,9.7,1,Yes,4,12,9,16,11,8,15,0,0,1,1,0,2,2,84,80,88,2,,,,,,,,,,,,,,,,4406,34,28,41,2
47041,Tennessee,DeKalb,412,11778,10037,13519,4,,,,,,,,,,,,,,,,22,21,22,3,4.6,4.4,4.9,3,4.8,4.6,5.0,3,,9,8,11,4,,,,,,,,,,8,4,12,10,8,11,23,22,24,3,30,22,39,1,8.2,1,26,19,35,1,34,4,15,14,15,4,5,22,23,12,35,2,74,372.8,3,41,35,48,3,,,,,,,,,,38,21,63,43,36,50,2287,14,12,16,4,8,40,2482:1,3,4,20,5035:1,4,8,40,2517:1,3,4083,1,,,,,,38,3,,,,,,52,1,,,,,,196,95,2,1860,4884,38,31,45,4,343,7730,4.4,3,24,16,32,3,,,,36,24,91734,18925,4.8,3,1419,4151,34,24,44,3,17,8.6,3,59,303,2,116,119,97,140,4,,,,,,,,,,,,,,,,9.7,1,Yes,4,12,9,15,9,6,12,3,1,5,0,0,0,1,85,80,89,3,,,,,,,,,,,,,,,,7805,42,37,48,3
47043,Tennessee,Dickson,959,10407,9409,11405,3,,,,,,,16592,11273,23550,,,,10252,9207,11297,19,18,20,1,4.3,4.1,4.5,1,4.6,4.4,4.9,2,,8,7,9,1,,,,,,,17,11,23,,,,7,7,8,21,20,22,2,27,19,35,1,8.1,1,26,19,34,1,68,1,15,14,15,3,14,61,23,16,30,2,155,293.3,2,34,30,37,2,,,,,,,38,24,57,41,25,66,33,30,37,4808,11,9,12,1,19,36,2782:1,3,35,65,1527:1,1,53,99,1008:1,1,6729,4,,,6207,,6732,38,3,,,46,,37,50,2,,,37,23,51,599,96,1,6226,13021,48,43,53,2,793,26257,3.0,1,20,15,26,1,,,26,21,17,96938,22795,4.3,2,3159,12194,26,21,31,1,45,8.5,3,255,497,4,287,110,97,123,3,,,,,,,90,45,161,,,,114,100,128,10.2,3,No,1,13,11,15,10,8,12,3,2,4,1,0,1,2,82,80,85,1,,,,,,,,,,,,,,,,22573,48,44,53,4
47045,Tennessee,Dyer,800,11277,10073,12480,4,,,,,,,14337,10808,17865,,,,11015,9678,12352,21,20,22,2,4.6,4.4,4.8,2,4.8,4.6,5.0,3,,11,10,12,4,,,,,,,18,15,21,7,3,12,9,8,10,23,22,24,3,40,33,47,4,6.7,4,34,27,41,4,62,2,14,13,14,2,9,37,24,16,33,2,238,635.3,4,44,39,48,4,,,,,,,58,47,71,32,16,57,41,36,46,2995,10,8,11,1,16,43,2341:1,2,20,54,1866:1,1,20,54,1866:1,3,8305,4,,,9396,,8328,35,3,,,39,,34,49,2,,,38,31,50,487,96,1,4877,8983,54,48,61,1,742,16239,4.6,3,26,18,34,3,,,27,19,23,84944,18881,4.5,2,3511,8750,40,32,48,4,47,12.5,1,294,771,4,125,66,55,78,1,,,,,,,36,17,66,,,,75,61,89,10.2,3,No,1,12,10,15,9,7,12,3,2,4,1,0,2,2,88,86,90,4,,,,,,,94,87,100,,,,89,87,91,15714,21,17,24,1
47047,Tennessee,Fayette,643,8054,6992,9115,1,,,,,,,10842,8620,13065,,,,7026,5819,8233,21,20,22,2,4.1,4.0,4.3,1,4.4,4.2,4.5,1,,9,8,10,3,,,,,,,15,12,17,9,4,15,7,6,8,20,20,21,1,35,27,43,3,8.0,2,25,19,33,1,48,3,13,12,14,1,9,36,25,16,34,2,216,539.5,4,25,21,29,1,,,,,,,38,31,46,,,,18,14,22,3474,11,10,12,2,14,35,2860:1,3,11,27,3682:1,3,3,7,13502:1,4,5370,2,,,7714,,4997,34,4,,,42,,33,51,1,,,36,,54,209,90,4,5171,8926,58,52,63,1,700,18769,3.7,2,21,15,27,1,,,42,54,11,115577,22172,5.2,4,2545,7827,33,28,38,2,38,9.5,3,101,258,2,155,78,66,90,1,,,,,,,69,49,95,,,,84,68,99,10.0,2,No,1,13,11,14,11,9,13,1,1,2,1,0,1,2,88,86,89,4,,,,,,,75,55,94,,,,80,77,83,17404,61,57,65,4
47049,Tennessee,Fentress,431,10798,9073,12522,3,,,,,,,,,,,,,,,,25,23,26,4,5.2,4.9,5.4,4,5.3,5.0,5.5,4,,9,7,10,2,,,,,,,,,,,,,,,,25,24,26,4,27,20,35,1,8.1,1,30,23,38,2,55,2,12,12,13,1,3,19,16,5,30,1,32,176.4,1,39,32,45,3,,,,,,,,,,,,,,,,1723,12,11,14,3,8,44,2267:1,2,2,11,9109:1,4,5,27,3643:1,4,10493,4,,,,,,34,4,,,,,,48,2,,,,,,230,95,2,1446,3739,39,30,48,4,299,7162,4.2,3,30,20,40,4,,,,12,27,67854,14407,4.7,3,857,3848,22,15,30,1,12,6.6,4,30,167,1,77,85,67,107,2,,,,,,,,,,,,,,,,9.1,1,Yes,4,12,9,16,10,7,13,2,1,4,1,0,1,2,81,80,81,1,,,,,,,,,,,,,,,,6525,35,28,42,2
47051,Tennessee,Franklin,730,9255,8090,10420,1,,,,,,,,,,,,,,,,20,19,21,1,4.3,4.1,4.5,1,4.5,4.3,4.8,1,,8,7,9,2,,,,,,,15,8,21,9,4,14,8,7,9,22,21,23,2,36,29,43,3,7.9,2,28,22,35,2,55,2,15,14,16,4,9,35,26,17,35,2,92,220.9,1,26,23,29,1,,,,,,,26,15,42,,,,27,24,31,3340,11,9,12,1,28,67,1488:1,1,13,31,3222:1,3,20,48,2095:1,3,5396,2,,,7155,,5300,41,2,,,46,,41,52,1,,,47,41,53,424,93,3,4780,9202,52,46,58,2,672,19948,3.4,1,21,15,27,2,,,9,22,17,92315,20127,4.6,3,2302,8392,27,22,33,1,45,10.8,2,158,382,3,186,89,77,102,2,,,,,,,,,,,,,,,,10.2,3,No,1,11,9,13,9,7,11,1,1,2,1,0,1,1,84,81,86,2,,,,,,,94,78,100,72,52,91,84,82,86,17888,31,27,34,1
47053,Tennessee,Gibson,990,10784,9742,11825,3,,,,,,,16417,13356,19478,,,,9537,8453,10622,20,20,21,2,4.3,4.1,4.5,1,4.8,4.6,5.0,2,,9,8,10,3,,,,,,,15,12,17,8,4,13,7,6,8,22,22,23,2,40,34,47,4,7.4,3,35,30,42,4,53,2,13,13,14,2,9,34,26,17,36,3,321,653.6,4,37,34,41,3,,,,,,,44,36,53,45,26,72,35,31,39,4327,11,9,12,1,21,43,2339:1,2,20,41,2452:1,2,12,24,4087:1,4,6382,3,,,7937,11164,6158,42,2,,,46,,42,51,1,,,40,31,53,654,94,2,6539,11610,56,51,62,1,955,21436,4.5,3,23,17,29,2,,,47,36,15,86933,17459,5.0,4,4234,11769,36,31,41,3,82,16.7,1,274,553,4,219,89,77,101,2,,,,,,,99,73,133,,,,86,73,100,10.4,4,No,1,14,12,17,12,10,14,2,1,3,1,0,1,4,87,84,89,4,,,,,,,82,77,88,,,,83,79,87,19819,34,30,38,2
47055,Tennessee,Giles,565,10147,8823,11472,2,,,,,,,,,,,,,,,,20,20,21,2,4.4,4.2,4.6,2,4.7,4.5,4.9,2,,9,8,10,3,,,,,,,19,14,24,,,,8,7,9,22,21,22,2,35,27,44,3,7.8,2,36,28,44,4,44,3,14,14,15,3,12,42,29,20,37,3,151,513.6,4,34,29,39,2,,,,,,,41,28,58,41,20,76,33,28,38,2802,12,11,14,3,11,37,2673:1,3,10,34,2950:1,2,15,51,1967:1,3,6499,3,,,6172,,6661,39,2,,,48,,38,51,1,,,41,59,52,346,91,3,2997,6456,46,41,52,3,557,15194,3.7,2,23,16,30,2,,,6,47,17,85808,20123,4.3,2,1905,6017,32,26,37,2,30,10.2,2,90,311,2,171,117,100,135,4,,,,,,,81,43,138,,,,124,104,143,10.6,4,Yes,4,12,10,14,10,7,12,2,1,3,1,0,2,2,85,82,88,3,,,,,,,81,73,90,,,,86,83,89,12010,35,31,40,2
47057,Tennessee,Grainger,468,10311,8786,11836,2,,,,,,,,,,,,,,,,22,21,23,3,4.7,4.5,4.9,3,4.9,4.7,5.2,3,,9,7,10,3,,,,,,,,,,,,,,,,23,22,24,3,33,24,42,2,8.4,1,34,25,43,3,23,4,13,13,14,2,3,30,10,3,20,1,57,246.3,1,42,36,48,3,,,,,,,,,,,,,,,,2275,12,11,14,3,5,22,4629:1,4,3,13,7715:1,4,4,17,5786:1,4,4485,1,,,,,,42,2,,,,,,41,4,,,,,,254,94,2,2029,5142,39,33,46,4,372,9417,4.0,2,25,17,33,3,,,,47,24,77965,19514,4.0,1,1176,4768,25,17,32,1,16,6.9,4,48,210,1,100,87,70,104,2,,,,,,,,,,,,,,,,10.3,3,No,1,12,9,14,9,6,11,2,1,3,1,1,2,1,76,73,80,1,,,,,,,,,,,,,,,,9219,56,49,62,4
47059,Tennessee,Greene,1437,10938,10033,11842,3,,,,,,,,,,,,,,,,22,21,23,3,4.6,4.4,4.8,3,4.9,4.7,5.1,3,,9,8,10,2,,,,,,,14,6,21,10,6,14,9,8,9,22,21,23,2,38,32,45,4,8.0,2,35,29,41,4,45,3,13,12,13,1,17,84,20,15,26,1,252,366.2,3,33,30,36,2,,,,,,,24,12,42,38,25,56,34,31,37,5877,11,10,13,2,39,57,1764:1,1,27,39,2559:1,2,64,93,1079:1,1,5375,2,,,,,,47,1,,,46,,47,48,2,,,39,32,48,784,94,2,7509,15442,49,44,53,2,1376,29829,4.6,4,24,17,31,2,,,18,59,21,79825,17505,4.6,2,4765,13255,36,29,43,3,73,10.6,2,217,317,2,369,107,96,118,3,,,,,,,,,,,,,,,,10.0,2,No,1,12,10,13,10,8,11,2,1,2,1,0,1,1,87,84,89,4,,,,,,,,,,,,,,,,27555,26,24,29,1
47061,Tennessee,Grundy,338,13079,10854,15304,4,,,,,,,,,,,,,,,,25,24,26,4,5.2,4.9,5.5,4,5.2,4.9,5.5,4,,10,9,12,4,,,,,,,,,,,,,,,,25,24,26,4,34,25,43,3,7.7,3,29,22,38,2,36,4,12,12,13,1,3,8,38,18,56,4,18,134.7,1,49,41,57,4,,,,,,,,,,,,,,,,1420,14,12,16,4,,,,2,,,,2,5,37,2669:1,3,5466,2,,,,,,33,4,,,,,,38,4,,,,,,191,94,2,1130,3045,37,30,44,4,216,4886,4.4,3,28,18,38,4,,,,72,24,74529,13643,5.5,4,1192,2957,40,29,52,4,11,8.2,3,54,402,3,86,128,103,159,4,,,,,,,,,,,,,,,,9.6,1,Yes,4,14,10,18,10,7,14,3,1,5,2,1,3,3,82,79,85,1,,,,,,,,,,,,,,,,4671,46,40,53,3
47063,Tennessee,Hamblen,1173,10117,9231,11002,2,,,,,,,16500,11211,23421,4635,3028,6792,10484,9466,11502,23,22,24,4,4.6,4.4,4.8,2,4.8,4.6,5.0,3,,8,7,9,1,,,,12,6,19,18,12,23,6,5,8,8,8,9,22,21,23,2,34,28,41,3,6.7,4,37,30,43,4,65,2,13,13,14,2,10,42,24,16,32,2,216,336.0,3,43,39,46,4,,,,,,,33,20,50,70,58,82,39,35,43,7165,14,12,16,4,40,62,1607:1,1,39,60,1656:1,1,104,161,621:1,1,5664,3,,,5080,,5671,44,1,,,38,38,45,45,3,,27,36,34,45,645,94,2,6222,15227,41,36,45,4,1050,27421,3.8,2,24,18,31,2,,71,54,60,18,83426,18316,4.6,2,4531,14480,31,25,38,2,86,13.4,1,302,476,4,307,96,85,107,2,,,,,,,106,59,175,33,17,57,106,94,119,10.3,3,No,1,17,14,19,15,12,17,2,1,3,1,0,1,4,85,83,87,3,,,,,,,,,,62,51,74,88,86,89,25888,22,19,25,1
